MSRDT,MSRSTE_NM,NO2,O3,CO,SO2,PM10,PM25,
111,2.01001E+11,관악구,0.029,0.013,0.6,0.006,28,17
112,2.01001E+11,관악구,0.034,0.01,0.7,0.006,33,20
113,2.01001E+11,관악구,0.036,0.008,0.7,0.006,34,20
114,2.01001E+11,관악구,0.043,0.004,0.8,0.006,40,28
115,2.01001E+11,관악구,0.047,0.001,0.9,0.006,44,27
116,2.01001E+11,관악구,0.05,0.001,1.1,0.006,37,24
117,2.01001E+11,관악구,0.05,0.001,1.2,0.006,39,28
118,2.01001E+11,관악구,0.046,0.001,1,0.006,38,33
119,2.01001E+11,관악구,0.043,0.001,0.9,0.005,50,36
120,2.01001E+11,관악구,0.043,0.001,0.9,0.005,46,35
121,2.01001E+11,"광진구,0.022",0.017,0.3,0.004,31,17,NA
122,2.01001E+11,"광진구,0.023",0.013,0.3,0.005,30,17,NA
123,2.01001E+11,"광진구,0.017",0.019,0.3,0.005,25,18,NA
124,2.01001E+11,"광진구,0.014",0.022,0.3,0.005,30,21,NA
125,2.01001E+11,"광진구,0.015",0.021,0.3,0.005,30,19,NA
126,2.01001E+11,"광진구,0.009",0.026,0.3,0.006,26,16,NA
127,2.01001E+11,"광진구,0.015",0.023,0.3,0.006,32,19,NA
128,2.01001E+11,"광진구,0.032",0.007,0.5,0.005,34,17,NA
129,2.01001E+11,"광진구,0.037",0.002,0.6,0.005,33,21,NA
130,2.01001E+11,"광진구,0.04",0.004,0.8,0.005,39,24,NA
131,2.01001E+11,"광진구,0.036",0.007,0.8,0.007,35,26,NA
132,2.01001E+11,"광진구,0.027",0.013,0.5,0.007,37,26,NA
133,2.01001E+11,"광진구,0.028",0.015,0.5,0.006,30,19,NA
134,2.01001E+11,"광진구,0.024",0.019,0.4,0.006,27,19,NA
135,2.01001E+11,"광진구,0.022",0.022,0.4,0.006,23,11,NA
136,2.01001E+11,"광진구,0.025",0.02,0.4,0.006,28,15,NA
137,2.01001E+11,"광진구,0.031",0.014,0.5,0.006,25,17,NA
138,2.01001E+11,"광진구,0.037",0.008,0.5,0.006,33,21,NA
139,2.01001E+11,"광진구,0.041",0.003,0.5,0.006,32,17,NA
140,2.01001E+11,"광진구,0.039",0.003,0.5,0.006,32,18,NA
141,2.01001E+11,"광진구,0.039",0.002,0.5,0.006,31,21,NA
142,2.01001E+11,"광진구,0.038",0.003,0.5,0.005,45,25,NA
143,2.01001E+11,"광진구,0.036",0.003,0.5,0.005,39,31,NA
144,2.01001E+11,"광진구,0.035",0.003,0.5,0.005,40,27,NA
145,2.01001E+11,"구로구,0.029",0.007,0.5,0.004,28,18,NA
146,2.01001E+11,"구로구,0.029",0.007,0.5,0.005,25,11,NA
147,2.01001E+11,"구로구,0.021",0.014,0.5,0.005,29,16,NA
148,2.01001E+11,"구로구,0.024",0.012,0.5,0.006,24,13,NA
149,2.01001E+11,"구로구,0.033",0.005,0.6,0.006,27,17,NA
150,2.01001E+11,"구로구,0.037",0.002,0.7,0.006,32,20,NA
151,2.01001E+11,"구로구,0.04",0.001,0.8,0.006,32,20,NA
152,2.01001E+11,"구로구,0.043",0.001,0.8,0.005,34,22,NA
153,2.01001E+11,"구로구,0.041",0.001,0.7,0.005,28,18,NA
154,2.01001E+11,"구로구,0.038",0.004,0.7,0.006,30,16,NA
155,2.01001E+11,"구로구,0.035",0.007,0.7,0.006,29,15,NA
156,2.01001E+11,"구로구,0.036",0.009,0.7,0.006,31,17,NA
157,2.01001E+11,"구로구,0.035",0.01,0.7,0.005,29,23,NA
158,2.01001E+11,"구로구,0.035",0.012,0.7,0.006,30,18,NA
159,2.01001E+11,"구로구,0.035",0.012,0.7,0.006,31,21,NA
160,2.01001E+11,"구로구,0.039",0.01,0.7,0.006,37,31,NA
161,2.01001E+11,"구로구,0.038",0.008,0.7,0.006,41,32,NA
162,2.01001E+11,"구로구,0.04",0.005,0.6,0.007,35,31,NA
163,2.01001E+11,"구로구,0.045",0.002,0.8,0.006,44,32,NA
